,location,country_key,country_code,country_name,circuit_key,circuit_short_name,session_type,session_name,date_start,date_end,gmt_offset,session_key,meeting_key,year
0,Sakhir,36,BRN,Bahrain,63,Sakhir,Race,Race,2023-03-05T15:00:00,2023-03-05T17:00:00,03:00:00,7953,1141,2023
1,Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Race,Race,2023-03-19T17:00:00,2023-03-19T19:00:00,03:00:00,7779,1142,2023
2,Melbourne,5,AUS,Australia,10,Melbourne,Race,Race,2023-04-02T05:00:00,2023-04-02T07:00:00,10:00:00,7787,1143,2023
3,Baku,30,AZE,Azerbaijan,144,Baku,Race,Race,2023-04-30T11:00:00,2023-04-30T13:00:00,04:00:00,9070,1207,2023
4,Miami,19,USA,United States,151,Miami,Race,Race,2023-05-07T19:30:00,2023-05-07T21:30:00,-04:00:00,9078,1208,2023
5,Monaco,114,MON,Monaco,22,Monte Carlo,Race,Race,2023-05-28T13:00:00,2023-05-28T15:00:00,02:00:00,9094,1210,2023
6,Barcelona,1,ESP,Spain,15,Catalunya,Race,Race,2023-06-04T13:00:00,2023-06-04T15:00:00,02:00:00,9102,1211,2023
7,Montréal,46,CAN,Canada,23,Montreal,Race,Race,2023-06-18T18:00:00,2023-06-18T20:00:00,-04:00:00,9110,1212,2023
8,Spielberg,17,AUT,Austria,19,Spielberg,Race,Race,2023-07-02T13:00:00,2023-07-02T15:00:00,02:00:00,9118,1213,2023
9,Silverstone,2,GBR,Great Britain,2,Silverstone,Race,Race,2023-07-09T14:00:00,2023-07-09T16:00:00,01:00:00,9126,1214,2023
10,Budapest,14,HUN,Hungary,4,Hungaroring,Race,Race,2023-07-23T13:00:00,2023-07-23T15:00:00,02:00:00,9133,1215,2023
11,Spa-Francorchamps,16,BEL,Belgium,7,Spa-Francorchamps,Race,Race,2023-07-30T13:00:00,2023-07-30T15:00:00,02:00:00,9141,1216,2023
12,Zandvoort,133,NED,Netherlands,55,Zandvoort,Race,Race,2023-08-27T13:00:00,2023-08-27T15:00:00,02:00:00,9149,1217,2023
13,Monza,13,ITA,Italy,39,Monza,Race,Race,2023-09-03T13:00:00,2023-09-03T15:00:00,02:00:00,9157,1218,2023
14,Marina Bay,157,SGP,Singapore,61,Singapore,Race,Race,2023-09-17T12:00:00,2023-09-17T14:00:00,08:00:00,9165,1219,2023
15,Suzuka,4,JPN,Japan,46,Suzuka,Race,Race,2023-09-24T05:00:00,2023-09-24T07:00:00,09:00:00,9173,1220,2023
16,Lusail,149,QAT,Qatar,150,Lusail,Race,Race,2023-10-08T17:00:00,2023-10-08T19:00:00,03:00:00,9221,1221,2023
17,Austin,19,USA,United States,9,Austin,Race,Race,2023-10-22T19:00:00,2023-10-22T21:00:00,-05:00:00,9213,1222,2023
18,Mexico City,8,MEX,Mexico,65,Mexico City,Race,Race,2023-10-29T20:00:00,2023-10-29T22:00:00,-06:00:00,9181,1223,2023
19,São Paulo,10,BRA,Brazil,14,Interlagos,Race,Race,2023-11-05T17:00:00,2023-11-05T19:00:00,-03:00:00,9205,1224,2023
20,Las Vegas,19,USA,United States,152,Las Vegas,Race,Race,2023-11-19T06:00:00,2023-11-19T08:00:00,-08:00:00,9189,1225,2023
21,Yas Island,21,UAE,United Arab Emirates,70,Yas Marina Circuit,Race,Race,2023-11-26T13:00:00,2023-11-26T15:00:00,04:00:00,9197,1226,2023
22,Sakhir,36,BRN,Bahrain,63,Sakhir,Race,Race,2024-03-02T15:00:00,2024-03-02T17:00:00,03:00:00,9472,1229,2024
23,Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Race,Race,2024-03-09T17:00:00,2024-03-09T19:00:00,03:00:00,9480,1230,2024
